id;url;title;company;date;seniority;description;recommendation
3909543105;https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3909543105;DevOps Engineer;Tecton;4 days ago;Mid-Senior level;At Tecton , we solve the complex data problem in production machine learning. Tecton’s feature platform makes it simple to activate data for smarter models and predictions. Tecton abstracts away the complex engineering to speed up innovation. Tecton’s founders developed the first Feature Store when they created Uber’s Michelangelo ML platform, and we’re now bringing those same capabilities to every organization in the world. Tecton is funded by Sequoia Capital, Andreessen Horowitz, and Kleiner Perkins, along with strategic investments from Snowflake and Databricks. We have a fast-growing team that’s distributed around the world, with offices in San Francisco and New York City. Our team has years of experience building and operating business-critical machine learning systems at leading tech companies like Uber, Google, Meta, Airbnb, Lyft, and Twitter. As a member of Tecton’s Infrastructure Engineering DevOps team, you will contribute to and own the foundation for building, automating, and scaling Tecton. You will leverage your experience with cloud architectures, distributed systems, containerization technologies (Kubernetes), and Linux system internals to design, build, and maintain our multi-cloud deployments, ensure our systems are secure in-depth, and work closely with the rest of Tecton’s Infrastructure Engineering team to scale and optimize our core compute and online serving systems. Prior experience with machine learning is not required. We are looking for exceptional DevOps, infrastructure, and software engineers who are driven to find simple solutions to complex challenges. You'll be at the intersection of design, engineering, and operational processes. Responsibilities Own the complete lifecycle of Tecton’s cloud infrastructure development from design through automation, deployment, and operation Engage with other engineering and solutions teams to build tools that will accelerate engineering and deployment efficiency Develop and maintain infrastructure and tooling to monitor observability of Tecton health, availability, latency Joint ownership building and managing Tecton’s CI/CD system to reliably deploy production components with a GitOps model Including the multi-language, multi-platform Build System based on Bazel Participate in an on-call rotation, triaging and addressing Tecton platform major incidents Qualifications Engineer with 5+ years experience in DevOps, SRE, or Software Engineering Experience with infrastructure-as-code tools such as Terraform Fluent in one or more programming languages such as Python or Golang Expertise in cloud providers such as AWS, Google Cloud, and/or Microsoft Azure Experience building and troubleshooting robust and secure networks Experience with microservices & container orchestration such as Kubernetes Expertise in observability stack (Prometheus, ELK, Chronosphere, Datadog, etc.) A passion for excellence and high developer productivity Strong and effective verbal and written communication skills In-depth experience with Linux systems administration and troubleshooting Nice to have Experience building reliable CI/CD pipelines (Github, CircleCI, Buildkite, etc.) Experience with Kubernetes configuration management tools (Helm, Kustomize, etc.) Experience with GitOps tools (Flux CD, Argo CD) Experience with on-call rotation and support of production environments Experience working with complex Build Systems (Bazel in particular) Experience working with large scale data infrastructure or batch/streaming data pipelines $165,000 - $231,000 a year The estimated US base salary range for this position is $165,000 - $231,000 annually for employees based within California & New York. In addition to base salary, we offer competitive equity & comprehensive benefits such as medical, dental, vision, life, 401(K), flexible paid time off, 10 paid holidays each calendar year, sick time, leave of absence as per the FMLA and other relevant leave laws. Individual compensation packages are based on multiple factors such as location, level, role scope, and complexity, as well as additional job-related factors such as skills, experience, and expertise. Tecton values diversity and is an equal opportunity employer committed to creating an inclusive environment for all employees and applicants without regard to race, color, religion, national origin, gender, sexual orientation, age, marital status, veteran status, disability status, or other applicable legally protected characteristics. If you would like to request any accommodations from the application through to the interview, please contact us at recruitingteam@tecton.ai. This employer participates in E-Verify and will provide the federal government with your Form I-9 information to confirm that you are authorized to work in the U.S. Show more Show less;7
3765377395;https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3765377395;DevOps Engineer;WorldQuant;4 days ago;Entry level;WorldQuant develops and deploys systematic financial strategies across a broad range of asset classes and global markets. We seek to produce high-quality predictive signals (alphas) through our proprietary research platform to employ financial strategies focused on market inefficiencies. Our teams work collaboratively to drive the production of alphas and financial strategies – the foundation of a balanced, global investment platform. WorldQuant is built on a culture that pairs academic sensibility with accountability for results. Employees are encouraged to think openly about problems, balancing intellectualism and practicality. Excellent ideas come from anyone, anywhere. Employees are encouraged to challenge conventional thinking and possess an attitude of continuous improvement. Our goal is to hire the best and the brightest. We value intellectual horsepower first and foremost, and people who demonstrate an outstanding talent. There is no roadmap to future success, so we need people who can help us build it. The Role : We are seeking a Senior Devops engineer to join a team that works on complex distributed architecture, spanning physical machines, and virtualize on prem host/cloud computing. The ideal candidate will have the ability to manage complexity and tackle problems across multiple stack layers as a part of a small team championing operational excellence. What You’ll Bring Linux operating system internal, performance tuning and troubleshooting Network stack and ability to troubleshoot complex connectivity issues. CI/CD/SDLC technology Kubernetes, Docker or similar virtualization technologies Distributed Telemetry frameworks Scripting skills ideally with Python or Go In depth SQL experience By submitting this application, you acknowledge and consent to terms of the WorldQuant Privacy Policy. The privacy policy offers an explanation of how and why your data will be collected, how it will be used and disclosed, how it will be retained and secured, and what legal rights are associated with that data (including the rights of access, correction, and deletion). The policy also describes legal and contractual limitations on these rights. The specific rights and obligations of individuals living and working in different areas may vary by jurisdiction. Copyright © 2024 WorldQuant, LLC. All Rights Reserved. WorldQuant is an equal opportunity employer and does not discriminate in hiring on the basis of race, color, creed, religion, sex, sexual orientation or preference, age, marital status, citizenship, national origin, disability, military status, genetic predisposition or carrier status, or any other protected characteristic as established by applicable law. Show more Show less;6
3803641356;https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3803641356;DevOps - Software Engineer;UKG;1 day ago;Not Applicable;Here at UKG, our purpose is people™. Our HR, payroll, and workforce management solutions help organizations unlock happier outcomes for all. And our U Krewers, who build those solutions and support our business, are talented, collaborative, and innovative problem-solvers. We strive to create a culture of belonging and an employee experience that empowers our people – both at work and at home. Our benefits show that we care about the whole you, from adoption and surrogacy assistance to tuition reimbursement and wellness programs. Our employee resource groups provide a welcoming place to land, learn, and connect with those who share your passions and interests. What are you waiting for? Learn more at Description About the Team: The UKG SRE Engineering team member will make our systems more resilient and efficient. Whether you come from a background in Devops, network engineering, systems administration, or software development—if you have a passion for making systems better, we need you! About The Role Product and service ownership experience, being the SME and initial point of contact for your responsible products & services. Engage in and improve the lifecycle of services from conception to EOL, including system design consulting, and capacity planning. Define and implement standards and best practices related to: System Architecture, Service delivery, metrics, and the automation of operational tasks Support services, product & engineering teams by providing common tooling and frameworks to deliver increased availability and improved incident response. Improve system performance, application delivery and efficiency through automation, process refinement, postmortem reviews, and in-depth configuration analysis Collaborate closely with engineering professionals within the organization to deliver reliable services Experience with GIT repositories, CI/CD concepts, and leveraging Infrastructure as Code Identify and eliminate operational toil by treating operational challenges as a software engineering problem Actively participate in incident response, root cause analysis, including on-call responsibilities Requirement for on call Qualifications About You: Basic Qualifications 3-5+ years of hands-on experience working in Engineering or Cloud Services orgs. 4+ years of professional software development experience. Deep expertise in one or more programming languages such as C, C++, C#, .NET, Python, Java, or JavaScript. Extensive experience with software development practices and design patterns. Proven track record of delivering complex software projects on time and within budget. Proficiency with version control systems like GitHub and bug/work tracking systems like JIRA. Understanding of cloud technologies and DevOps principles. Strong problem-solving skills and attention to detail. Excellent communication and interpersonal skills, with the ability to work effectively in a collaborative team environment. Preferred Qualifications Experience working with automation 3-5+ years of experience with public cloud platforms (e.g. GCP, AWS, Azure) Experience with distributed system design and architecture Experience with containerization technologies Experience in configuration and maintenance of applications and/or systems infrastructure for large scale customer facing company Equal Opportunity Employer Ultimate Kronos Group is proud to be an equal opportunity employer and is committed to maintaining a diverse and inclusive work environment. All qualified applicants will receive considerations for employment without regard to race, color, religion, sex, age, disability, marital status, familial status, sexual orientation, pregnancy, genetic information, gender identity, gender expression, national origin, ancestry, citizenship status, veteran status, and any other legally protected status under federal, state, or local anti-discrimination laws. View The EEO is the Law poster and its supplement. View the Pay Transparency Nondiscrimination Provision. UKG participates in E-Verify. View the E-Verify posters here. For individuals with disabilities that need additional assistance at any point in the application and interview process, please email UKGCareers@ukg.com. Show more Show less;4
3975251784;https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3975251784;Associate Cloud Engineer;UKG;2 days ago;Entry level;Company Overview Here at UKG, our purpose is people™. Our HR, payroll, and workforce management solutions help organizations unlock happier outcomes for all. And our U Krewers, who build those solutions and support our business, are talented, collaborative, and innovative problem-solvers. We strive to create a culture of belonging and an employee experience that empowers our people – both at work and at home. Our benefits show that we care about the whole you, from adoption and surrogacy assistance to tuition reimbursement and wellness programs. Our employee resource groups provide a welcoming place to land, learn, and connect with those who share your passions and interests. What are you waiting for? Learn more at www.ukg.com/careers #WeAreUKG Description About the Team : UKG Foundation Network team is seeking a Cloud Network Engineer with private and public cloud experience to join our SaaS delivery team, supporting our private and public cloud solutions. With the tremendous growth we are experiencing, UKG is looking for individuals who come together with teammates to share knowledge and skills across the global organization, and as our products grow, we are continually enhancing our cloud-based infrastructure to scale and improve our services’ performance, scalability, and reliability. About the role : In this exciting and dynamic role, you will design, enhance, and support the networking systems for our public and private cloud environments. The ideal candidate will have a deep passion for evolving processes and technologies, a drive to innovate, and an “automate everything” mindset, all while fostering an excellent customer experience. As a Cloud Network Engineer on the UKG Foundation Network team you will : -Automating routine tasks while identifying areas of improvement -Participate in on-call rotation and handle escalations in a fast-paced environment -Analyze data to diagnose and identify root causes to network-specific events. -Provide user support, incident responses, and post-mortems Qualifications Basic Qualifications : -Strong familiarity with routing and networking fundamentals (BGP, OSPF, TCP, UDP etc.) -Experience in Network management using monitoring systems. -Experience in the deployment and implementation of Juniper, Cisco and Palo Alto systems for large-scale cloud and enterprise environments -1-3 years of proven and real-world experience in the design and implementation of complex networking concepts -Understand load balancing strategies/techniques, knowledge of persistence and SSL certificates. -Experience in Network management using monitoring systems -Experience in Linux/Unix command line and command line tools. -Ability to work cross functionally in high paced team environments -Strong problem solving and communication skills Preferred Qualifications : -Degree or currently pursuing education in computer science, Electronics or Electrical Engineering -Familiarity with Infrastructure as Code tools such as Terraform. -Knowledge of tunneling technologies including IPSEC and SSL VPNs and GRE tunneling -LAN switching Internetworking to include VLANS, spanning tree, trunking, port aggregation, and segmentation -Knowledge of IP Storage protocols and best practices for storage networking -Google Cloud Certification EEO Statement Equal Opportunity Employer Ultimate Kronos Group is proud to be an equal opportunity employer and is committed to maintaining a diverse and inclusive work environment. All qualified applicants will receive considerations for employment without regard to race, color, religion, sex, age, disability, marital status, familial status, sexual orientation, pregnancy, genetic information, gender identity, gender expression, national origin, ancestry, citizenship status, veteran status, and any other legally protected status under federal, state, or local anti-discrimination laws. View The EEO Know Your Rights poster and its supplement . View the Pay Transparency Nondiscrimination Provision UKG participates in E-Verify. View the E-Verify posters here . Disability Accommodation For individuals with disabilities that need additional assistance at any point in the application and interview process, please email UKGCareers@ukg.com. Show more Show less;3
3882726131;https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3882726131;Build and Release Engineer;WorldQuant;4 days ago;Entry level;WorldQuant develops and deploys systematic financial strategies across a broad range of asset classes and global markets. We seek to produce high-quality predictive signals (alphas) through our proprietary research platform to employ financial strategies focused on market inefficiencies. Our teams work collaboratively to drive the production of alphas and financial strategies – the foundation of a balanced, global investment platform. WorldQuant is built on a culture that pairs academic sensibility with accountability for results. Employees are encouraged to think openly about problems, balancing intellectualism and practicality. Excellent ideas come from anyone, anywhere. Employees are encouraged to challenge conventional thinking and possess an attitude of continuous improvement. Our goal is to hire the best and the brightest. We value intellectual horsepower first and foremost, and people who demonstrate an outstanding talent. There is no roadmap to future success, so we need people who can help us build it. Technologists at WorldQuant research, design, code, test and deploy firmwide platforms and tooling while working collaboratively with researchers. Our environment is relaxed yet intellectually driven. We seek people who think in code and are motivated by being around like-minded people. The Role: We are seeking an especially talented software engineer to join our team. The right candidate will have the ability to: work closely with a distributed team of engineers to support, enhance, and expand company-wide developer tooling and build and deployment systems and infrastructure collaborate with engineering and research teams to improve developer build and deployment experience practice ownership and ensure reliability of existing and new build and release pipelines assist with package and release software requested by the WorldQuant users work with users and the team to troubleshoot and address issues for a variety of software debug and resolve library dependency, build systems and deployment issues for Python, C++, and Java codebases develop and ensure quality of documentation and build tools to facilitate user experience create proprietary solutions to increase stability and scalability of the build, test and deploy portions of the firm’s SDLC processes What You’ll Bring Excellent verbal and written communication skills in English language Excellent interpersonal and organizational skills, approachable personality Good analytical skills and passion for solving problems in pragmatic ways with a sense of urgency Experience with build systems, software packaging and package managers Experience with software build automation systems, experience with Nix (nixpkgs, NixOS) is a big plus Proficiency in Linux (shell tools, bash, understanding of file systems and networking) Proficiency in Python, able to write clean code and tests, able to debug code Experience debugging build systems: Make, CMake, Bazel, etc Proficiency with Git and experience with CI/CD pipelines Nice To Have Background in multiple programming languages Experience with infrastructure management (Ansible) Experience with cloud computing and containerization Experience with configuration and support of Nginx Experience with configuration and use of monitoring systems (Prometheus, Grafana) By submitting this application, you acknowledge and consent to terms of the WorldQuant Privacy Policy. The privacy policy offers an explanation of how and why your data will be collected, how it will be used and disclosed, how it will be retained and secured, and what legal rights are associated with that data (including the rights of access, correction, and deletion). The policy also describes legal and contractual limitations on these rights. The specific rights and obligations of individuals living and working in different areas may vary by jurisdiction. Copyright © 2024 WorldQuant, LLC. All Rights Reserved. WorldQuant is an equal opportunity employer and does not discriminate in hiring on the basis of race, color, creed, religion, sex, sexual orientation or preference, age, marital status, citizenship, national origin, disability, military status, genetic predisposition or carrier status, or any other protected characteristic as established by applicable law. Show more Show less;5
3972892733;https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3972892733;Cloud Engineer;Sabre Uruguay;3 days ago;Entry level;The Sabre Technology Engineering team is looking for a talented Cloud Engineer What will you achieve? Build & manage container platform with GKE on GCP Collaborate with internal stakeholders - Product, other SRE and support teams, to rollout new features Manage lifecycle of GKE addons - Anthos Service Mesh, security tools, instrumentation, observability Implementing best practices, to meet internal SLA/SLO’s of the platform What’s in it for you? Opportunity to learn and solve most challenging patterns in a containerized environment Working on enterprise grade container platform, hosting critical & core services Must Have 3-5 years of experience in Kubernetes Platform 2-3 years of Scripting/Automation experience in one of the following: Python/Shell 1-2 years of experience with Terraform Nice To Have Skills Experience with Jenkins, CICD tools Knowledge on GKE & GCP Services Prior experience handling large scale Kubernetes platform Benefits Work in modern Zonamerica campus alongside all the amenities it has to offer! Annual Performance bonus plans Development opportunities in country or globally We offer a competitive private health insurance for employees and eligible children Extra Paid Time Off (5 extra days each year) End Of Year Break 3 month paid parental leave (12 weeks for fathers/ 18 weeks for mothers) Daily meal allowance Life Insurance Corporate Social Responsibility opportunities Recognition and acknowledgement programs Fun employee engagement and development events Skills: Cloud, System Engineering, DevOps, Kubernetes, Python, Terraform, GCP Education Bachelors in Computer Science or equivalent Show more Show less;8
3977329189;https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3977329189;Desarrollador Java - DevOps Semi Sr;Indra;1 day ago;Mid-Senior level;More digital. More human. More Minsait. Somos una empresa líder global de tecnología y consultoría digital que conecta personas, tecnología y negocios para generar crecimiento, transformación e impacto positivo y sostenible. Buscamos Desarrollador Java - DevOps Semi Sr con ganas de trabajar en nuestros equipos multidisciplinares . ¿Cuál es el reto que te proponemos? · Estarás en contacto continuo con las novedades tecnológicas, impulsando la transformación digital. · Participarás en proyectos y desarrollos que tienen una alta visibilidad y que marcan la diferencia con soluciones disruptivas y especializadas para toda la cadena de valor. ¿Qué esperamos por tu parte? ICarreras administrativas, comercial, marketing o afín. Experiencia de dos años en CI/CD. Experiencia de dos años en diseño y mantenimiento de scripts Experiencia de dos años en calidad del software, informes de estado del software, desarrollo de SW. Contar con capacidad para la unificación y automatización de procesos. Mínimo, 2 años de experiencias en puestos similares de devops. Estudios universitarios, mínimo 3er año aprobado. Manejo medio a alto de las siguiente plataformas: - GIT/ Gitlab - Maven - Jenkins - Nexus - SonarQube - Docker - Ant - Groovy - Node Conocimientos deseables: - Java - Javascript - VueJS - Seguridad de aplicaciones y despliegue Disponibilidad para laborar en modalidad hibrida en Uruguay, Montevideo. Motivos por los que te encantará ser un #Minsaiter: Conciliación y equilibrio . Carrera profesional y formación continua adaptada a tus necesidades y motivaciones. Contrato indefinido y retribución competitiva. Programas de bienestar Minsait, technology for a more human future! Nuestro compromiso es promover ambientes de trabajo en los que se trate con respeto y dignidad a las personas, procurando el desarrollo profesional de la plantilla y garantizando la igualdad de oportunidades en su selección, formación y promoción ofreciendo un entorno de trabajo libre de cualquier discriminación por motivo de género, edad, discapacidad, orientación sexual, identidad o expresión de género, religión, etnia, estado civil o cualquier otra circunstancia personal o social. Show more Show less;1
3803813535;https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3803813535;Cloud Engineer Senior - Presencial Montevideo;Globant;1 day ago;Mid-Senior level;We are a digitally native technology services company where innovation, design and engineering meet scale. We use some of the latest technologies in the digital and cognitive field to empower organizations in every aspect. We're looking for Cloud Engineers to join our teams. Candidate should have experience with IaaS, PaaS and SaaS cloud flavors, being capable of deployments, migrations and operation support of applications and services running on those technologies. Strong knowledge on Operating Systems (Linux and Windows) deploy, administration and support is a plus! You could work with a variety of Cloud Solutions (IaaS, PaaS, etc.) both for private and public Clouds working on: Migration from On-prem infrastructure to Cloud Setup, maintenance and improvement of existing Cloud implementations Improve cost-efficiency of existing Cloud implementations Participate in the design of new Cloud infrastructures, as an SME, Engineer or Architect Automate the resource creation on Cloud environments What will help you succeed: Experience with AWS. Knowledge on Operating System administration. Understanding of security mechanism both for Operating system and for Cloud Services. Solid knowledge of Terraform. Solid knowledge of Networking and base protocols for system administration Troubleshooting skills for Operating system services Understanding of Security, Availability, Scalability and resilience in Cloud environments Configuration management and automation tools English is a must! Are you ready? Job Segment: Engineer, Linux, Cloud, Engineering, Technology Show more Show less;2
3967584421;https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3967584421;Senior AWS DevOps Engineer - Remote - Latin America;FullStack Labs;21 hours ago;Mid-Senior level;About FullStack FullStack is the fastest-growing software consultancy in the Americas. We help organizations like Uber, GoDaddy, MGM, Siemens, and Stanford University build distributed software development teams, and deliver transformational digital solutions. As an employee-first company, we focus on hiring the most talented software designers and developers in the western hemisphere, by creating a positive, respectful, and supportive work environment where they can achieve their greatest potential. We’re Most Proud Of Offering life-changing career opportunities to talented software professionals across the Americas. Building highly-skilled software development teams for hundreds of the world’s greatest companies. Having delivered hundreds of successful custom software solutions, which have positively impacted the lives and careers of millions of users. Our 4.5-star rating on GlassDoor. Our client Net Promoter Score of 68, twice the industry average. The Position We're Looking To Hire a Senior AWS DevOps Engineer To Join Our Team. You'll Work With Our Incredible Clients In One Of Two Ways Team Augmentation: You will integrate yourself directly into our client's team and work alongside their existing designers and engineers on a daily basis. Design & Build: You will work on a FullStack product team to build and deliver a product to our clients. What We Are Looking For 4+ years of professional experience as a DevOps Engineer or in similar positions. Develop and maintain infrastructure automation scripts using Terraform, Ansible, or similar tools. Experience with Continuous Integration/Continuous Design, implement and maintain CI/CD pipelines to streamline the software delivery process. Ensure automated testing and code quality checks are integrated into the CI/CD pipelines. Expertise in Disaster Recovery, Availability Zones, and multi-region failover setup and configuration. Knowledge of microservices architecture. Proficiency with containerization and orchestration tools (e.g., Docker, Kubernetes). Knowledge of version control systems (e.g., Git). Strong proficiency in scripting languages (e.g., JavaScript, Python, or Bash). Proficiency in AWS. Familiarity with Agile/Scrum methodologies. Advanced English is required. Successful completion of a four-year college degree is required. Forensic attention to detail. A positive, optimistic, can-do attitude. Ability to identify with the goals of FullStack's clients, and dedicate yourself to delivering on the commitments you and your team make to them. An understanding of best practices and a commitment to following them. Ability to consistently work 40 hours per week. What We Offer Competitive pay in your local currency. 100% remote work. The ability to work with leading startups and Fortune 500 companies. English Classes. Virtual company events each month. Ample opportunity for career advancement. Continuing education opportunities. Depending on your location other benefits may apply. FullStack is proud to be an equal opportunity workplace. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity, or Veteran status. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form, which can be provided upon request during our hiring and interview process. Learn more about our Applicants Privacy Notice. Show more Show less;9
3973232881;https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3973232881;Azure DevOps Engineer - Remote - Latin America;FullStack Labs;6 days ago;Mid-Senior level;About FullStack FullStack is the fastest-growing software consultancy in the Americas. We help organizations like Uber, GoDaddy, MGM, Siemens, and Stanford University build distributed software development teams, and deliver transformational digital solutions. As an employee-first company, we focus on hiring the most talented software designers and developers in the western hemisphere, by creating a positive, respectful, and supportive work environment where they can achieve their greatest potential. We’re Most Proud Of Offering life-changing career opportunities to talented software professionals across the Americas. Building highly-skilled software development teams for hundreds of the world’s greatest companies. Having delivered hundreds of successful custom software solutions, which have positively impacted the lives and careers of millions of users. Our 4.5-star rating on GlassDoor. Our client Net Promoter Score of 68, twice the industry average. The Position We're Looking To Hire a DevOps Engineer To Join Our Team. You'll Work With Our Incredible Clients In One Of Two Ways Team Augmentation: You will integrate yourself directly into our client's team and work alongside their existing designers and engineers on a daily basis. Design & Build: You will work on a FullStack product team to build and deliver a product to our clients. What We Are Looking For 5+ years of professional experience as a DevOps Engineer. Strong expertise in Azure. Proficient in Google Cloud Platform services and tools. Strong experience with Pulumi for infrastructure as code (IaC). Expertise in automation tools such as Terraform, Ansible, Jenkins, and Cloud Build. Experience with Continuous Integration/Continuous Design, implement and maintain CI/CD pipelines to streamline the software delivery process. Knowledge of microservices architecture. Proficiency with containerization and orchestration tools (e.g., Docker, Kubernetes). Knowledge of version control systems (e.g., Git). Strong proficiency in scripting languages (e.g. Python). Familiarity with Agile/Scrum methodologies. Advanced English is required. Successful completion of a four-year college degree is required. Forensic attention to detail. A positive, optimistic, can-do attitude. Ability to identify with the goals of FullStack's clients, and dedicate yourself to delivering on the commitments you and your team make to them. An understanding of best practices and a commitment to following them. Ability to consistently work 40 hours per week. What We Offer Competitive pay in your local currency. 100% remote work. The ability to work with leading startups and Fortune 500 companies. English Classes. Virtual company events each month. Ample opportunity for career advancement. Continuing education opportunities. Depending on your location other benefits may apply. FullStack is proud to be an equal opportunity workplace. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity, or Veteran status. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form, which can be provided upon request during our hiring and interview process. Learn more about our Applicants Privacy Notice. Show more Show less;0
